,index,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,DP_CHOKE_SIZE,AVG_WHP_P,AVG_WHT_P,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
1377,6594,24.0,217.561363125,102.40198583333333,183.50613895833334,100.0,4.509411666666667,34.05522416666667,84.55686541666667,1458.2,218131.42,2451.03
1378,6595,24.0,217.51401104166666,102.43402645833334,183.43304541666666,100.0,4.531540416666667,34.080965625,84.71322208333333,1604.2,240499.46,2466.56
1379,6596,24.0,218.200143125,102.439890625,184.15679729166666,100.0,4.514673125,34.04334583333333,84.79067770833333,1599.06,241134.62,2475.57
1380,6597,24.0,218.80449833333333,102.43945354166667,184.86402083333334,100.0,4.428572708333333,33.9404775,84.61838875,1584.57,240174.1,2484.21
1381,6598,24.0,219.21417458333335,102.43408020833333,185.33307145833334,100.0,4.389119166666666,33.881103125,84.64834520833334,1577.9,238842.76,2478.45
1382,6599,24.0,219.83831208333334,102.43430958333333,186.051849375,100.0,4.3008114583333334,33.78646270833333,84.70997791666667,1556.2,236657.75,2474.08
1383,6600,24.0,220.76257958333332,102.429094375,186.92923145833333,100.0,4.340122291666667,33.833348125,85.56613354166667,1510.57,230969.49,2521.61
1384,6601,24.0,223.38544833333333,102.37024375,189.2290025,100.0,4.603353333333334,34.156445833333336,85.31627833333333,1534.8,232416.94,2588.48
1385,6602,24.0,232.19382958333333,102.173974375,194.46896958333335,75.135501875,8.218460625,37.72486,86.788948125,1324.73,201006.77,2018.64
1386,6603,22.0,255.20565433391363,101.90442123597727,202.5171564307591,33.574476041666664,17.977410532645454,52.68849790315455,75.6283803316,549.57,86497.43,864.0
1387,6604,5.175,240.90350898550724,102.05940835748792,197.3712586956522,11.264247708333333,14.288426280193237,43.53225028985507,87.27395782608696,205.63,22184.21,146.47
1388,6605,7.0,264.88879357360946,100.6058508479338,196.71427849719697,22.0,26.986114698853495,68.17451507641248,48.186737485493545,187.55,31348.09,374.42
1389,6606,24.0,239.36591770833334,102.17556375,195.23488875,46.015125833333336,14.715947916666666,44.13102895833333,86.49560083333333,891.56,134483.5,1309.26
1390,6607,24.0,238.98884895833334,102.10352520833334,196.56714791666667,48.06322083333333,13.004032916666667,42.421701041666665,87.66596666666666,943.69,143054.21,1394.95
1391,6608,24.0,239.11304895833334,102.00897,196.37871625,47.91420291666667,13.411368541666667,42.73433270833333,87.73764583333333,1370.22,208314.79,2786.25
1392,6609,24.0,240.66997770833333,101.903178125,197.27240791666668,47.228458125,13.684908958333333,43.39756979166667,87.84868916666667,1368.18,208974.11,2674.42
1393,6610,24.0,240.70202208333333,101.81205333333334,197.31011729166667,47.147513958333334,13.603826666666667,43.39190479166667,87.957258125,1374.62,208463.18,2676.02
1394,6611,24.0,240.580305,101.77982395833334,197.38783416666666,47.254032708333334,13.403798541666667,43.19247083333333,87.52675895833333,1360.57,207551.24,2677.31
1395,6612,24.0,239.07349958333333,101.77464083333334,196.878439375,48.124952291666666,12.426711666666666,42.19506020833333,87.305176875,1344.8,206033.08,2636.77
