,0,1,2,,DATEPRD,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,,,,,
162,3972.2446,560369.25,421.7222,,1/3/09,2216.9,323603.08,13.42,,,3764.1008,531697.5,405.28796
163,3998.7878,564396.06,429.20364,,1/4/09,3347.77,484832.66,10.78,,,3758.833,531010.44,400.6141
164,3999.4565,565155.75,434.48822,,1/5/09,3495.8,506288.63,11.61,,,3775.5295,533298.7,402.69543
165,4004.221,566477,438.22864,,1/6/09,2649.25,386193.55,11.51,,,3782.8513,534356.3,405.04556
166,4018.6902,568577.6,443.66794,,1/7/09,3309.88,491311.06,11.51,,,3779.996,534028.94,404.295
167,4024.3074,569121.1,461.61047,,1/8/09,3054.02,440434.88,10.79,,,3793.5254,535978,407.1494
168,4008.53,567289.4,486.45944,,1/9/09,2627.22,377383.98,10.66,,,3800.5127,537027.6,410.21436
169,3962.3652,561716.25,503.0926,,1/10/09,3259.45,468775.45,10.87,,,3802.5615,537373.06,411.32922
170,3920.5925,556349.44,514.73444,,1/11/09,3360.25,483460.06,10.91,,,3804.0642,537816.56,410.82166
171,3870.9487,549231.75,510.04883,,1/12/09,3622.1,520625.52,11.02,,,3803.7493,538086.1,409.29684
172,3837.3855,544033.44,496.07242,,1/13/09,3920.6,561182.25,13.35,,,3803.1204,538332.44,407.499
173,3827.9236,542188.25,485.91336,,1/14/09,3827.53,547774.31,12.66,,,3805.3137,538752.06,408.7931
174,3820.7126,540684,478.53662,,1/15/09,4449.03,639914.22,58.44,,,3814.9973,539969.75,412.69427
175,3807.3567,538735.6,473.7898,,1/16/09,4595.56,660379.98,69.33,,,3823.6257,540736.06,417.49164
176,3794.359,537578.4,470.5842,,1/17/09,4386.22,641965.53,37.68,,,3837.402,542306.1,425.55624
177,3776.603,535782.4,461.3399,,1/18/09,4580.12,659836.92,53.97,,,3841.427,543220.94,433.95068
178,3759.8855,533885.3,447.14935,,1/19/09,4621.01,663577.95,27.76,,,3839.0361,543709.56,439.2608
179,3741.7349,531617,434.4352,,1/20/09,4634.87,666607.86,21.93,,,3838.331,544579.25,440.79733
180,3732.128,530006.56,428.85956,,1/21/09,4162.58,599459.19,37.72,,,3832.112,544342.06,436.1967
181,3735.9438,529593.25,430.8113,,1/22/09,3996.66,616437.48,67.89,,,3822.8518,542984.44,425.84293
