DATEPRD,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_CHOKE_SIZE_P,AVG_WHP_P
02/08/2014,20.94167,260.069840211234,54.8075827083333,36.6753931747229
02/09/2014,24,252.357480416666,100,32.157863125
02/10/2014,12,258.662909043282,47.2685008333333,35.6989145121172
02/11/2014,15.39167,254.437575645046,64.9812608333333,33.4743150225804
02/12/2014,21.94167,258.227736342206,69.54222625,36.3498426003945
02/13/2014,24,252.8505175,100,32.6558110416666
02/14/2014,24,252.768355625,100,32.6346322916666
02/15/2014,24,252.729280208333,100,32.387483125
02/16/2014,24,253.252780416666,100,32.64530875
02/17/2014,24,253.374244166666,100,32.665643125
02/18/2014,16.33333,259.433577669011,52.3643585416666,35.7467756344542
02/19/2014,24,253.683667708333,97.2786314583333,32.830356875
02/20/2014,24,253.671781041666,100,32.5695554166666
02/21/2014,24,253.756146458333,100,32.5679841666666
02/22/2014,24,253.512895625,100,32.531768125
02/23/2014,24,253.212748958333,100,32.3845841666666
02/24/2014,24,253.078398958333,100,32.35388375
02/25/2014,24,252.350881666666,100,32.3396929166666
02/26/2014,24,253.448385625,100,32.3215870833333
02/27/2014,24,253.611169166666,100,32.2840952083333
02/28/2014,24,253.838190416666,100,32.3104535416666
03/01/2014,24,253.980946458333,100,32.304105625
03/02/2014,24,254.082816875,100,32.3641975
03/03/2014,24,253.790947021276,97.9166666666666,32.1381795833333
03/04/2014,24,253.712803958333,100,32.1219545833333
03/05/2014,24,253.859527291666,100,32.1696645833333
03/06/2014,24,254.065632916666,100,32.1615291666666
03/07/2014,24,254.222354583333,100,32.1888047916666
03/08/2014,24,254.33059625,100,32.1078166666666
03/09/2014,24,254.484157291666,100,32.1775770833333
03/10/2014,24,254.603909583333,100,32.2471583333333
03/11/2014,24,254.730144375,100,32.180025625
03/12/2014,24,255.2303525,100,32.4626489583333
03/13/2014,24,254.87194,97.9166666666666,32.204534893617
03/14/2014,24,254.76726875,100,32.142648125
03/15/2014,24,254.76167,100,32.136811875
03/16/2014,24,254.80933875,100,32.1124472916666
03/17/2014,24,255.083215208333,100,32.28854375
03/18/2014,24,255.139402291666,100,32.31764875
03/19/2014,24,254.679845625,100,31.8434129166666
03/20/2014,24,255.368308333333,100,32.195610625
03/21/2014,24,255.329639375,100,32.2494916666666
03/22/2014,14.16666,259.884381289421,53.7998485416666,34.8692140513995
03/23/2014,24,258.314903125,85.9278733333333,33.498724375
03/24/2014,6.225,257.298420080321,27.2341752083333,31.4670133734939
03/25/2014,6.60833,276.315118622011,10.146368125,44.7860560397256
03/26/2014,24,258.183935625,81.1227495833333,33.720175625
03/27/2014,12.5,261.341869489216,47.0473183333333,35.2956329188
03/28/2014,24,260.620700416666,89.7924727083333,35.507165625
03/29/2014,14.66667,268.293189707254,36.1586133333333,40.1515180369095
03/30/2014,23,255.79501,94.8627697826087,32.4921195454545
03/31/2014,24,255.800964791666,100,32.3853702083333
04/01/2014,24,255.78118,100,32.4266816666666
04/02/2014,24,255.697329375,100,32.384998125
04/03/2014,24,255.810247916666,100,32.35767625
04/04/2014,24,255.895891041666,100,32.3111545833333
04/05/2014,24,255.934369148936,97.9166666666666,32.3483106382978
04/06/2014,18.225,256.696756995884,74.9720579166666,32.5003517146776
04/07/2014,18.94167,260.684203887698,59.6311375,35.1095505634772
04/08/2014,24,255.671115625,100,32.239388125
04/09/2014,24,255.926043541666,100,32.390409375
04/10/2014,16.29166,261.779017265975,60.3944872916666,35.7790865068691
04/11/2014,24,255.917259791666,100,32.517221875
04/12/2014,24,256.133248958333,100,32.4559441666666
04/13/2014,24,256.171319583333,100,32.4869758333333
04/14/2014,24,256.281271489361,97.9166666666666,32.4938789361702
04/15/2014,24,256.423687083333,100,32.4922602083333
04/16/2014,24,255.866422291666,100,32.4049502083333
04/17/2014,24,256.675970625,100,32.4668304166666
04/18/2014,24,256.745660208333,100,32.47356875
04/19/2014,24,256.841312083333,100,32.411306875
04/20/2014,24,256.912635416666,100,32.4334825
04/21/2014,24,256.30745875,100,31.9927777083333
04/22/2014,24,256.044790833333,100,31.6074014583333
04/23/2014,24,256.261188541666,100,31.57115
04/24/2014,24,256.391532291666,100,31.580385
04/25/2014,24,256.344845625,100,31.6375560416666
04/26/2014,24,256.493053958333,100,31.5854566666666
04/27/2014,24,256.615710625,100,31.669048125
04/28/2014,24,256.707350208333,100,31.6865708333333
04/29/2014,24,256.812205208333,100,31.6490495833333
04/30/2014,24,256.9661775,100,31.6596670833333
05/01/2014,24,257.111187916666,100,31.6390372916666
05/02/2014,24,257.398892708333,100,31.7557891666666
05/03/2014,24,257.390482916666,100,31.6193075
05/04/2014,24,257.539587916666,100,31.5173722916666
05/05/2014,24,257.712182083333,100,31.4863577083333
05/06/2014,24,257.927764375,100,31.5174725
05/07/2014,24,258.9602,100,32.1819477083333
05/08/2014,15.49166,260.69887140391,63.6793360416666,33.5731034436335
05/10/2014,14.00834,272.112454153782,24.5058127083333,39.7327771448651
05/11/2014,24,258.47763,93.8394479166666,31.826678125
05/12/2014,24,257.484231666666,100,31.4899785416666
05/13/2014,24,256.336030638297,97.9166666666666,31.2121363829787
05/14/2014,24,254.711779574468,97.9166666666666,30.7698255319148
05/15/2014,24,254.793644042553,97.9166666666666,30.6365429787234
05/16/2014,24,255.722367234042,97.9166666666666,31.0193829787234
05/17/2014,24,255.773081041666,100,30.998661875
05/18/2014,24,255.485966170212,97.9166666666666,30.5677212765957
05/19/2014,24,255.659430416666,97.9166666666666,30.6298927083333
05/20/2014,24,255.822333125,100,30.67419625
05/21/2014,24,255.950109583333,100,30.6849822916666
05/22/2014,24,256.511568541666,100,30.8697225
05/23/2014,24,257.263942291666,100,31.0131241666666
05/24/2014,24,257.939227291666,100,31.2212779166666
05/25/2014,24,258.217135208333,100,31.33245125
05/26/2014,24,258.413937021276,97.9166666666666,31.4223436170212
05/27/2014,24,258.502824791666,100,31.5221575
05/28/2014,24,257.56798125,100,31.5245145833333
05/29/2014,24,258.734274583333,100,31.5546352083333
05/30/2014,24,258.8888575,100,31.5864008333333
05/31/2014,24,259.013259791666,100,31.596574375
06/01/2014,24,259.132528125,100,31.5883089583333
06/02/2014,22,265.382097328954,72.3231616666666,35.8042361345363
06/03/2014,24,259.4524125,96.1758433333333,31.7414941666666
06/04/2014,24,259.469017291666,99.185055,31.602994375
06/05/2014,24,259.602014583333,99.1385314583333,31.655305
06/06/2014,24,259.668705625,99.1902954166666,31.6428858333333
06/07/2014,24,259.744142708333,99.26899375,31.609295
06/08/2014,24,259.795885833333,100,31.532005
06/09/2014,24,259.919977291666,100,31.499705625
06/10/2014,24,260.002732708333,100,31.4830172916666
06/11/2014,24,260.025597083333,100,31.5016941666666
06/12/2014,24,260.036664166666,100,31.5511564583333
06/13/2014,24,260.089519166666,100,31.5141827083333
06/14/2014,24,260.122739791666,100,31.4825922916666
06/15/2014,24,260.1347875,100,31.4624252083333
06/16/2014,24,260.144192978723,100,31.4442406382978
06/17/2014,24,260.164761041666,100,31.4406329166666
06/18/2014,24,260.187327083333,100,31.4304377083333
06/19/2014,24,260.255389375,100,31.4089716666666
06/20/2014,24,260.334208333333,100,31.4085475
06/21/2014,24,260.367761458333,100,31.3958545833333
06/22/2014,24,260.457258125,100,31.4068022916666
06/23/2014,24,260.923214166666,100,31.7084985416666
06/24/2014,24,260.596710833333,100,31.4241097916666
06/25/2014,24,260.68653893617,100,31.4225759574468
06/26/2014,16.5,174.793144065321,51.0302047916666,36.351034176606
06/27/2014,23.5,147.200708127659,74.2681641666666,35.4434816276595
06/28/2014,24,260.671382978723,91.1834233333333,31.6056442553191
06/29/2014,24,260.588219787234,97.9166666666666,31.2917459574468
06/30/2014,24,260.656094680851,97.9166666666666,31.2812493617021
07/01/2014,24,260.617069791666,100,31.3106877083333
07/02/2014,24,260.679572708333,100,31.2882502083333
07/03/2014,24,260.736998333333,100,31.3000245833333
07/04/2014,24,260.790306666666,100,31.2150560416666
07/05/2014,24,260.817423541666,100,31.2514864583333
07/06/2014,24,260.875286875,100,31.3226577083333
07/07/2014,24,260.895459583333,100,31.3137408333333
07/08/2014,24,260.927479166666,100,31.3479691666666
07/09/2014,24,260.91948875,100,31.3683860416666
07/10/2014,24,260.69118375,100,31.3096814583333
07/11/2014,24,260.546417708333,100,31.2797525
07/12/2014,24,260.246517291666,100,31.1885729166666
07/13/2014,24,259.997994791666,100,31.1023741666666
07/14/2014,24,259.852822083333,100,31.1139620833333
07/15/2014,24,259.940468125,100,31.0733864583333
07/16/2014,24,259.855194166666,100,31.034879375
07/17/2014,24,259.914053541666,100,31.0765885416666
07/18/2014,24,260.024418541666,100,31.1333404166666
07/19/2014,24,260.234309791666,100,31.1013529166666
07/20/2014,23.08334,263.870102450078,84.3182364583333,33.752138055329
07/21/2014,24,260.728026875,93.47770875,31.4094970833333
07/22/2014,24,260.517561041666,100,31.2370727083333
07/23/2014,24,260.53563,100,31.2453020833333
07/24/2014,24,260.608363333333,100,31.2562885416666
07/25/2014,24,260.706237708333,100,31.2750333333333
07/26/2014,24,261.192047916666,100,31.6344020833333
07/27/2014,24,261.490205208333,100,31.8326766666666
07/28/2014,24,261.517987083333,100,31.8970316666666
07/29/2014,24,261.51988625,100,31.8705925
07/30/2014,24,261.000657291666,100,31.414678125
07/31/2014,24,260.796907708333,100,31.273914375
08/01/2014,24,260.844675625,100,31.2373352083333
08/02/2014,24,260.863484375,100,31.23703625
08/03/2014,24,260.6586675,100,31.1540402083333
08/04/2014,24,260.644192291666,100,31.12509125
08/05/2014,24,260.692163541666,100,31.2227095833333
08/06/2014,24,260.751319166666,100,31.1389289583333
08/07/2014,24,260.757420851063,97.9166666666666,31.1831765957446
08/08/2014,24,260.785208510638,97.9166666666666,31.187364680851
08/09/2014,24,260.849194166666,100,31.1275327083333
08/10/2014,24,260.92618,97.9166666666666,31.121759574468
08/11/2014,24,261.070241489361,97.9166666666666,31.1071555319148
08/12/2014,24,260.951680208333,100,31.132514375
08/13/2014,24,260.906758333333,100,31.116785625
08/14/2014,24,260.928758333333,100,31.1917808333333
08/15/2014,24,260.800562083333,100,31.1446670833333
08/16/2014,24,260.762110416666,100,31.1271295833333
08/17/2014,24,260.754425208333,100,31.0725229166666
08/18/2014,24,260.702411458333,100,31.0208375
08/19/2014,1.65833,265.717234582803,11.0111889583333,31.4075049197686
08/25/2014,22.625,267.621294475138,51.8666185416666,35.0948749723756
08/26/2014,24,260.409870208333,91.705796875,31.397036875
08/27/2014,24,260.280578125,99.8090720833333,30.9201760416666
08/28/2014,23.5,164.07405290817,76.4280202083333,33.8156019402
08/29/2014,24,177.673720416666,99.2905641666666,30.8141185416666
08/30/2014,24,260.125598125,99.9992714583333,30.8968677083333
08/31/2014,24,259.814225416666,100,30.8814758333333
09/01/2014,24,259.728087708333,100,31.0282060416666
09/02/2014,24,259.915532708333,100,31.160683125
09/03/2014,22.16666,263.528109133103,76.3890364583333,33.1816386714281
09/04/2014,24,260.825101458333,96.037640625,31.4479327083333
09/05/2014,24,260.55883875,100,31.0941289583333
09/06/2014,24,260.563754042553,97.9166666666666,31.1591136170212
09/07/2014,24,260.468472291666,100,31.143230625
09/08/2014,24,260.328254255319,100,31.1630534042553
09/09/2014,24,260.258938958333,100,31.1715935416666
09/10/2014,24,260.23591375,100,31.2017504166666
09/11/2014,24,260.264987291666,100,31.198658125
09/12/2014,24,260.322380208333,100,31.2057158333333
09/13/2014,24,260.386204375,100,31.1967485416666
09/14/2014,24,260.467914791666,100,31.20612125
09/15/2014,24,260.529563958333,100,31.1679641666666
09/16/2014,24,260.720181666666,100,31.1869879166666
09/17/2014,24,260.68065574468,97.9166666666666,31.0918983333333
09/18/2014,24,260.753096170212,97.9166666666666,31.0901551063829
09/19/2014,24,260.852407659574,97.9166666666666,31.1123272340425
09/20/2014,24,260.920521276595,97.9166666666666,31.1938274468085
