,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,AVG_WHP_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
90,264.08789,105.91898,178.2197363829787,37.29412895833333,85.86815361702128,53.00881127659574,4253.12,648380.88,8.22
91,264.08789,105.91898,178.34193,38.21141645833333,85.74596,52.88725291666667,4279.91,651572.53,8.29
92,264.08789,105.91898,179.66063458333332,39.27145375,84.42725541666667,51.214709791666664,4439.62,671084.55,8.59
93,264.08789,105.91898,180.6398,40.14757854166667,83.44809000000001,49.35995229166666,4582.9,696343.43,8.86
94,264.08789,105.91898,181.25933666666663,40.727504583333335,82.82855333333333,48.65250166666666,4677.42,709992.17,9.04
95,264.08789,105.91898,181.24754833333333,40.74857395833333,82.84034166666666,49.25016520833334,4688.63,711699.89,9.07
96,264.08789,105.91898,181.15959666666663,40.7553975,82.92829333333333,49.68262125,4687.74,714081.05,9.06
97,297.6459697916667,72.71542833333334,216.3820125,42.15900666666667,81.26395729166667,47.850673125,4885.56,741919.56,9.45
98,257.2,39.553670000000004,177.02884,43.10056166666666,80.17116,46.69522479166667,5013.12,759588.91,9.69
99,258.14605958333334,106.08248895833331,177.925675625,43.122455,80.22038395833333,46.74368166666667,5017.55,760577.09,7.7
100,258.33252270833333,106.14487625,178.13036875,43.09232666666666,80.20215395833333,46.71938520833334,5019.23,760297.25,19.71
101,258.339496875,106.14994958333334,178.16663895833332,43.19540875,80.17285791666667,46.68892458333333,5034.28,762332.85,8019.72
102,258.3098160416667,106.15579270833334,178.29270916666667,43.33968291666667,80.017106875,46.52493770833333,5045.72,764673.62,8019.74
103,258.316348125,106.161113125,178.35508875,43.38664166666667,79.961259375,46.46299666666667,5053.01,766791.37,19.77
104,257.975446875,106.22877770833334,178.00507854166668,43.46183,79.97036833333334,46.46578958333333,5065.87,767889.19,29.8
105,258.4236110416667,106.17195916666668,178.26345166666667,43.48607395833334,80.160159375,46.66426604166666,5072.27,767413.36,10.01
106,258.45708979166665,106.17610895833332,178.25680416666665,43.561188125,80.200285625,46.70218625,5086.33,770161.99,10.04
107,260.6458497591284,106.15840587602708,177.32261740065582,40.12257780487805,83.32323235847258,50.01007840844764,3869.22,589150.0,7.48
110,259.7948011059003,106.14873870485745,178.49707907674556,42.49382,81.29772202915477,47.88264729368017,4019.51,603534.04,7.77
113,258.422451875,106.17518833333334,191.3951545833333,43.41881291666667,67.02729729166667,33.538475625,5040.47,768018.95,9.75
114,258.5171222916667,106.18150854166667,178.21372854166665,43.39667333333333,80.30339375,46.81843666666666,5058.13,763388.73,9.78
