,DATEPRD,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,AVG_WHP_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
1908,2015-03-19,265.2422354166667,99.648850625,234.43116270833335,100.0,30.811072708333334,2.233520208333333,264.35,38692.82,3462.68
1909,2015-03-20,265.218328125,99.640159375,234.450985625,100.0,30.7673425,2.1762045833333334,271.47,39567.36,3749.96
1910,2015-03-21,265.19209770833334,99.63836,234.438161875,100.0,30.753935833333333,2.173700833333333,274.32,39882.43,3525.19
1911,2015-03-22,265.23962708333335,99.636674375,234.48507145833332,100.0,30.754555625,2.106210208333333,257.66,39059.29,3476.03
1912,2015-03-23,265.139513125,99.64064270833333,234.41651541666667,99.99409270833333,30.722997708333335,2.155826875,229.5,35767.27,3196.62
1913,2015-03-24,265.87483645833333,99.64213791666667,234.43110416666667,79.223428125,31.443732291666667,2.86758375,195.3,30082.67,2999.25
1914,2015-03-25,265.9848622916667,99.652149375,234.41791541666666,81.28986208333333,31.566946875,2.825207916666667,250.48,37831.77,3438.37
1915,2015-03-26,266.7317258333333,99.64754041666667,234.597435,100.0,32.13429083333333,2.1042316666666667,269.7,39629.47,3566.24
1916,2015-03-27,265.55589541666666,99.66086958333334,234.45666583333335,100.0,31.099229583333333,2.304161458333333,273.87,39429.06,3493.55
1917,2015-03-28,265.45391291666664,99.65896,234.639641875,100.0,30.814271041666668,2.1941366666666666,261.25,34983.55,3476.32
1918,2015-03-29,265.4505640909091,99.65764477272727,234.56939613636365,97.82608695652173,30.881167954545454,2.2403677272727274,250.31,35982.96,3310.68
1919,2015-03-30,265.6942331914894,99.64644340425532,234.62887893617022,97.91666666666667,31.06535425531915,2.1988071719858158,257.61,37200.36,3494.89
1920,2015-03-31,265.43625979166666,99.64669145833334,234.61574041666665,100.0,30.820519375,2.169543125,261.54,37167.27,3462.22
1921,2015-04-01,265.44401375,99.63505708333334,234.65228479166666,100.0,30.791728958333334,2.1949727083333332,251.24,36784.44,3426.24
1922,2015-04-02,265.5121125,99.6292,234.7525125,100.0,30.7596,2.2048316666666667,256.09,37323.39,3426.19
1923,2015-04-03,265.56313020833335,99.62662770833333,234.77216291666667,100.0,30.790967291666668,2.175045416666667,254.14,36480.09,3405.12
1924,2015-04-04,265.4950166666667,99.61954583333333,234.781635625,100.0,30.71338104166667,2.1553575,253.43,36856.85,3397.62
1925,2015-04-05,265.44621916666665,99.619024375,234.77012958333333,100.0,30.676089583333333,2.13492375,252.16,36772.07,3373.03
1926,2015-04-06,265.32388,99.61776,234.66136895833333,100.0,30.662511041666665,2.1385089583333334,252.07,36654.21,3418.69
