,DATEPRD,NPD_WELL_BORE_NAME,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,AVG_WHP_P,DP_CHOKE_SIZE,AVG_WHT_P,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL
6819,2013-05-28,15/9-F-14,243.25588625,100.843876875,211.19465041666666,100.0,32.061235833333335,3.291791875,86.97533416666667,876.37,143892.71,3494.43,
6820,2013-05-29,15/9-F-14,244.79593166666666,100.831935,211.8058875,100.0,32.990044166666664,3.2316889583333333,88.78260104166667,851.08,141276.65,3484.4,
6821,2013-05-30,15/9-F-14,243.83415958333333,100.849019375,211.59334416666667,100.0,32.24081541666666,3.41858625,88.99382291666667,891.66,144015.76,3578.88,
6822,2013-05-31,15/9-F-14,244.00330270833334,100.85107625,211.75937541666667,100.0,32.243927291666665,3.42639875,88.66002270833333,892.66,144664.43,3587.1,
6823,2013-06-01,15/9-F-14,244.18970791666666,100.85197458333333,211.94548333333333,100.0,32.244224583333335,3.42690125,88.21430520833333,894.15,145512.31,3604.8,
6824,2013-06-02,15/9-F-14,244.340160625,100.85625666666667,212.05085375,100.0,32.289306875,3.4594575,88.69544,895.88,145879.93,3623.08,
6825,2013-06-03,15/9-F-14,244.339633125,100.861783125,212.0484825,100.0,32.291150625,3.4652808333333334,88.846325,898.65,146014.88,3547.57,
6826,2013-06-04,15/9-F-14,244.56156479166665,100.86086,212.082434375,100.0,32.47913041666666,3.386146875,88.86959583333334,879.89,145685.62,3585.78,
6827,2013-06-05,15/9-F-14,245.355554375,100.83765666666666,212.39212125,83.89086666666667,32.963433125,4.053738541666666,88.68387645833333,885.75,155463.47,3678.67,
6828,2013-06-06,15/9-F-14,244.72564520833333,100.79934583333333,211.74837145833334,83.69628479166667,32.97727375,3.91847375,88.702838125,889.37,156726.37,3643.36,
6829,2013-06-07,15/9-F-14,243.79668604166667,100.810419375,211.55661395833334,100.0,32.24007208333333,3.322060625,88.73919125,873.88,147616.61,3482.14,
6830,2013-06-08,15/9-F-14,243.57811791666666,100.8381025,211.48032708333332,100.0,32.097790833333335,3.3055152083333335,88.57235375,863.37,146148.76,3501.99,
6831,2013-06-09,15/9-F-14,244.36454957446807,100.82616893617022,212.15402170212766,100.0,32.21052787234043,3.3831134042553193,88.75130404255319,882.71,151051.65,3712.75,
6832,2013-06-10,15/9-F-14,244.34724541666668,100.81609916666666,212.13632291666667,100.0,32.2109225,3.361923958333333,88.94945625,795.81,134589.17,3589.14,
6833,2013-06-11,15/9-F-14,244.442579375,100.81313125,212.21860729166667,100.0,32.22397208333334,3.3392741666666668,88.88135541666666,825.65,138454.77,3541.83,
6834,2013-06-12,15/9-F-14,244.60499708333333,100.81214833333334,212.40927,100.0,32.19572708333333,3.2466766666666667,86.992539375,833.77,139442.77,3444.83,
6835,2013-06-13,15/9-F-14,244.5569825,100.80947666666667,212.34835854166667,100.0,32.208623958333334,3.3046604166666667,88.669255625,847.02,141326.78,3440.01,
