,0,1,2,,DATEPRD,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,,,,,
217,746.49457,117164.77,25.880453,,3/15/14,1324.86,198229.72,139.79,,,1158.6663,172375.38,150.49028
218,996.2358,151513.56,120.90896,,3/16/14,1307.78,197590.5,141.93,,,1155.4277,171793.73,149.34885
219,1169.6686,177814.81,196.32863,,3/17/14,1309.6,196492.9,141.5,,,1150.6985,171168.47,148.63138
220,1257.7559,187540.03,206.60455,,3/18/14,1272.58,193558.61,136.55,,,1145.4872,170279.89,148.74919
221,1210.7098,178111.38,166.91808,,3/19/14,1284.05,192236.23,105.87,,,1137.9557,169214.11,148.52328
222,1185.3966,179049.52,142.78633,,3/20/14,1308.95,197339.34,169.6,,,1135.0237,168719.6,148.91374
223,1173.8055,179721.6,130.26183,,3/21/14,1294.7,196230.33,168.75,,,1137.267,168950.53,148.81094
224,1092.648,166084.33,145.7908,,3/22/14,598.56,91630.83,80.7,,,1137.9995,169104.1,147.32733
225,962.39465,145043.94,162.06639,,3/23/14,940.92,146645.7,137.75,,,978.22473,146923.38,105.22403
226,882.21564,137925.66,171.50905,,3/24/14,246.43,42330.96,41.46,,,1047.7811,156956.45,117.48468
227,1093.6619,167814.47,144.45253,,3/25/14,219.97,31706.85,63.77,,,835.4268,128653.19,64.20168
228,1120.7911,175363.92,205.54817,,3/26/14,1172.89,177032.23,147.51,,,660.92645,105309.94,24.812927
229,1109.1045,169986.12,182.51192,,3/27/14,497.54,76861.35,99.38,,,865.1818,131720.2,52.74474
230,1145.5375,173730.61,208.01505,,3/28/14,179.61,29816.92,40.52,,,838.55676,129443.266,89.46353
231,1123.3848,172204.39,183.77995,,3/29/14,357.54,57599.61,68.31,,,681.6949,107575.125,29.317612
232,1164.9744,174161.23,172.01724,,3/30/14,1111.8,166605.82,153.51,,,746.49457,117164.77,25.880453
233,1195.7427,181817.05,159.10213,,3/31/14,1261.62,191240.19,171.46,,,996.2358,151513.56,120.90896
234,1167.3014,172551.38,153.57172,,4/1/14,1260.09,190401.73,172.76,,,1169.6686,177814.81,196.32863
235,1179.5638,176142.03,138.1942,,4/2/14,1262.15,190094.29,173.27,,,1257.7559,187540.03,206.60455
236,1223.7965,187794.77,129.64111,,4/3/14,1266.28,190772.2,174,,,1210.7098,178111.38,166.91808
237,1228.9886,185481.34,142.55544,,4/4/14,1280.31,195008.19,152.74,,,1185.3966,179049.52,142.78633
238,1103.6212,168835.06,154.51437,,4/5/14,1286.67,195046.78,152.04,,,1173.8055,179721.6,130.26183
239,1159.1456,176823.75,207.33827,,4/6/14,925.83,143169.79,103.78,,,1092.648,166084.33,145.7908
240,1112.2032,169596.17,189.90968,,4/7/14,52.88,8279.23,16.93,,,962.39465,145043.94,162.06639
241,1121.8699,167781.56,145.12338,,4/8/14,1040.68,159740.1,125.09,,,882.21564,137925.66,171.50905
242,1120.3043,167581.73,143.42894,,4/9/14,1217.92,184930.46,138.72,,,1093.6619,167814.47,144.45253
243,1123.218,167422.38,147.27415,,4/10/14,985.07,160416.23,110.4,,,1120.7911,175363.92,205.54817
244,1110.0461,165801.94,136.34291,,4/11/14,1259.32,190660.35,141.02,,,1109.1045,169986.12,182.51192
245,1108.3643,165548.52,135.15994,,4/12/14,1254.79,190195.69,140.53,,,1145.5375,173730.61,208.01505
